iter	Passed	Remaining
526	962	863
527	964	861
528	965	859
529	967	857
530	968	855
531	970	853
532	971	851
533	973	849
534	974	847
535	976	845
536	977	843
537	979	841
538	980	838
539	982	836
540	983	834
541	985	832
542	986	830
543	988	828
544	989	826
545	991	824
546	992	822
547	994	820
548	995	817
549	997	815
550	998	813
551	1000	811
552	1001	809
553	1003	807
554	1004	805
555	1006	803
556	1007	801
557	1009	799
558	1010	797
559	1012	795
560	1013	793
561	1015	791
562	1016	789
563	1018	787
564	1019	785
565	1021	782
566	1022	780
567	1024	778
568	1025	776
569	1026	774
570	1028	772
571	1030	770
572	1031	768
573	1032	766
574	1034	764
575	1036	762
576	1037	760
577	1039	758
578	1040	756
579	1042	754
580	1043	752
581	1045	750
582	1046	748
583	1048	746
584	1049	744
585	1051	742
586	1052	740
587	1054	738
588	1055	736
589	1057	734
590	1059	732
591	1060	730
592	1062	728
593	1063	727
594	1065	725
595	1066	723
596	1068	721
597	1069	719
598	1071	717
599	1072	715
600	1074	713
601	1075	711
602	1077	709
603	1078	707
604	1080	705
605	1081	703
606	1083	701
607	1084	699
608	1086	697
609	1087	695
610	1089	693
611	1090	691
612	1092	689
613	1093	687
614	1095	685
615	1097	683
616	1098	681
617	1100	679
618	1101	678
619	1102	676
620	1104	674
621	1106	672
622	1108	670
623	1109	668
624	1111	666
625	1113	664
626	1114	662
627	1115	660
628	1117	658
629	1118	656
630	1120	655
631	1121	653
632	1123	651
633	1124	649
634	1126	647
635	1127	645
636	1129	643
637	1130	641
638	1132	639
639	1133	637
640	1135	635
641	1136	633
642	1137	631
643	1139	629
644	1140	627
645	1142	626
646	1143	624
647	1145	622
648	1146	620
649	1148	618
650	1149	616
651	1151	614
652	1152	612
653	1154	610
654	1155	608
655	1157	606
656	1158	605
657	1160	603
658	1161	601
659	1163	599
660	1165	597
661	1166	595
662	1167	593
663	1169	591
664	1170	589
665	1172	587
666	1174	586
667	1175	584
668	1177	582
669	1178	580
670	1180	578
671	1181	576
672	1183	575
673	1185	573
674	1186	571
675	1188	569
676	1189	567
677	1191	565
678	1192	563
679	1194	561
680	1195	560
681	1197	558
682	1198	556
683	1199	554
684	1201	552
685	1202	550
686	1204	548
687	1205	546
688	1207	545
689	1209	543
690	1210	541
691	1212	539
692	1213	537
693	1215	535
694	1216	533
695	1218	532
696	1219	530
697	1221	528
698	1222	526
699	1224	524
700	1225	522
701	1227	521
702	1228	519
703	1230	517
704	1232	515
705	1233	513
706	1235	511
707	1236	510
708	1238	508
709	1239	506
710	1241	504
711	1242	502
712	1244	500
713	1245	499
714	1247	497
715	1249	495
716	1250	493
717	1251	491
718	1253	489
719	1255	488
720	1256	486
721	1258	484
722	1259	482
723	1261	480
724	1262	478
725	1264	477
726	1265	475
727	1267	473
728	1268	471
729	1270	469
730	1271	467
731	1273	466
732	1274	464
733	1276	462
734	1277	460
735	1279	458
736	1280	457
737	1282	455
738	1283	453
739	1285	451
740	1286	449
741	1288	447
742	1289	446
743	1291	444
744	1292	442
745	1294	440
746	1295	438
747	1297	437
748	1298	435
749	1300	433
750	1301	431
751	1303	429
752	1305	428
753	1306	426
754	1308	424
755	1309	422
756	1311	420
757	1312	419
758	1314	417
759	1316	415
760	1317	413
761	1319	412
762	1320	410
763	1322	408
764	1323	406
765	1325	404
766	1327	403
767	1329	401
768	1331	399
769	1333	398
770	1334	396
771	1336	394
772	1338	393
773	1339	391
774	1341	389
775	1343	387
776	1345	386
777	1346	384
778	1348	382
779	1350	380
780	1352	379
781	1353	377
782	1355	375
783	1357	373
784	1359	372
785	1361	370
786	1363	369
787	1365	367
788	1367	365
789	1369	364
790	1371	362
791	1373	360
792	1374	358
793	1376	357
794	1377	355
795	1379	353
796	1380	351
797	1382	349
798	1383	348
799	1385	346
800	1387	344
801	1388	342
802	1390	341
803	1391	339
804	1393	337
805	1394	335
806	1396	333
807	1397	332
808	1399	330
809	1401	328
810	1402	326
811	1404	325
812	1405	323
813	1407	321
814	1409	319
815	1410	318
816	1412	316
817	1413	314
818	1415	312
819	1416	310
820	1418	309
821	1419	307
822	1421	305
823	1422	303
824	1424	302
825	1425	300
826	1427	298
827	1428	296
828	1430	295
829	1431	293
830	1433	291
831	1435	289
832	1436	288
833	1438	286
834	1439	284
835	1441	282
836	1442	280
837	1444	279
838	1445	277
839	1447	275
840	1448	273
841	1450	272
842	1451	270
843	1453	268
844	1454	266
845	1456	265
846	1457	263
847	1459	261
848	1461	259
849	1462	258
850	1464	256
851	1465	254
852	1467	252
853	1468	251
854	1470	249
855	1472	247
856	1474	246
857	1475	244
858	1477	242
859	1478	240
860	1480	238
861	1481	237
862	1483	235
863	1484	233
864	1486	231
865	1487	230
866	1489	228
867	1490	226
868	1492	224
869	1493	223
870	1495	221
871	1496	219
872	1498	218
873	1500	216
874	1501	214
875	1503	212
876	1504	211
877	1506	209
878	1507	207
879	1509	205
880	1510	204
881	1512	202
882	1513	200
883	1515	198
884	1516	197
885	1518	195
886	1519	193
887	1521	191
888	1523	190
889	1524	188
890	1526	186
891	1527	185
892	1529	183
893	1531	181
894	1532	179
895	1534	178
896	1535	176
897	1537	174
898	1538	172
899	1540	171
900	1541	169
901	1543	167
902	1544	165
903	1546	164
904	1548	162
905	1549	160
906	1551	159
907	1552	157
908	1554	155
909	1555	153
910	1557	152
911	1558	150
912	1560	148
913	1561	146
914	1563	145
915	1564	143
916	1566	141
917	1567	140
918	1569	138
919	1570	136
920	1572	134
921	1573	133
922	1575	131
923	1576	129
924	1578	127
925	1579	126
926	1581	124
927	1582	122
928	1584	121
929	1586	119
930	1587	117
931	1589	115
932	1590	114
933	1592	112
934	1593	110
935	1594	109
936	1596	107
937	1598	105
938	1599	103
939	1601	102
940	1602	100
941	1604	98
942	1605	97
943	1607	95
944	1609	93
945	1610	91
946	1612	90
947	1613	88
948	1615	86
949	1616	85
950	1618	83
951	1619	81
952	1621	79
953	1622	78
954	1624	76
955	1626	74
956	1627	73
957	1629	71
958	1630	69
959	1632	68
960	1633	66
961	1635	64
962	1636	62
963	1638	61
964	1639	59
965	1641	57
966	1642	56
967	1644	54
968	1645	52
969	1647	50
970	1648	49
971	1650	47
972	1651	45
973	1654	44
974	1656	42
975	1658	40
976	1659	39
977	1661	37
978	1663	35
979	1664	33
980	1667	32
981	1670	30
982	1672	28
983	1674	27
984	1675	25
985	1678	23
986	1681	22
987	1683	20
988	1686	18
989	1688	17
990	1690	15
991	1693	13
992	1695	11
993	1698	10
994	1700	8
995	1703	6
996	1705	5
997	1708	3
998	1710	1
999	1712	0
